column,explanation
scenario,Scenario number. S=1 means this is one simulated path.
trading_day,Trading-day index from 1 to T.
gamma,Drawn tail-exponent value that controls the degree distribution.
direct_liquidity_multiplier_E_k,"Direct liquidity multiplier, equal to expected degree E[k]."
indirect_liquidity_multiplier_E_k2_over_E_k_minus_1,"Indirect multiplier, equal to E[k^2] / E[k] - 1."
baseline_direct_liquidity,Direct network liquidity without EWI-triggered policy support.
baseline_indirect_liquidity,Indirect network liquidity without EWI-triggered policy support.
liquidity_risk_threshold,Lower-tail threshold used to identify liquidity-risk days.
liquidity_risk_day,True when baseline direct liquidity falls below the threshold.
ewi_signal,True when the estimated early-warning indicator emits a signal.
support_active,True when policy support is active after an EWI signal.
support_amount,Additional routing-capacity support added while support is active.
policy_direct_liquidity,Direct liquidity after EWI-triggered support.
baseline_shortfall,Shortfall of baseline direct liquidity below the risk threshold.
policy_shortfall,Shortfall of policy direct liquidity below the risk threshold.
